series_num,status,year,doy,datetime,rocket,pot_name,pot_lat,pot_lon,orbit,mass,dst_mean,dst
31,0,1993,281,1993-10-08 08:00:00.000000,长征二号丙（遥11）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号甲摄影测绘卫星05星（返回式遥感卫星1号05星）（科学探测与技术试验卫星） ,,
32,0,1994,39,1994-02-08 08:33:53.000000,长征三号甲（遥901201/遥1）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,高椭圆轨道,实践四号空间环境探测卫星（实践四号科学实验卫星）  夸父一号模拟卫星[注 22]（华凌集团之星）[注 23]  ,,
33,0,1994,184,1994-07-03 08:00:00.000000,长征二号丁（4902遥/遥2）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号乙国土普查卫星02星（返回式遥感卫星2号02星）（科学探测与技术试验卫星） ,,
34,0,1994,202,1994-07-21 10:31:00.000000,长征三号（遥903408/遥8）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,超同步转移轨道,亚太一号通信卫星（中星五号E通信卫星） ,,
35,0,1994,239,1994-08-27 23:10:00.000000,长征二号捆（遥5）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,近地椭圆轨道, Star-63F（ 美国） 澳普图斯通信卫星B3星（澳星B3通信卫星）（ 澳大利亚） ,,
36,0,1994,333,1994-11-29 17:02:00.000000,长征三号甲（遥901302/遥2）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,地球同步转移轨道,东方红三号通信卫星（01星） ,,
37,0,1995,25,1995-01-25 22:40:00.000000,长征二号捆（遥6）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,近地椭圆轨道, Star-63F（ 美国） 亚太二号通信卫星 ,,
38,0,1995,332,1995-11-28 11:30:05.000000,长征二号捆（遥7）／近地点变轨发动机,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,地球同步转移轨道,亚洲二号通信卫星（亚卫二号通信卫星） ,,
39,0,1995,362,1995-12-28 11:50:00.000000,长征二号捆（遥8）／近地点变轨发动机,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,地球同步转移轨道,回声星一号通信卫星（艾科斯达一号通信卫星）（ 美国） ,,
40,0,1996,45,1996-02-14 19:01:07.000000,长征三号乙（遥1）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,地球同步转移轨道,国际通信卫星708星（国际通信卫星七号A（08星））（国际通信卫星组织） ,,
41,0,1996,185,1996-07-03 10:47:00.000000,长征三号（遥10）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,超同步转移轨道,亚太一号A通信卫星（中星五号D通信卫星） ,,
42,0,1996,231,1996-08-18 10:27:00.000000,长征三号（遥14）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,中星七号通信卫星 ,,
43,0,1996,294,1996-10-20 07:20:00.000000,长征二号丁（遥3）,酒泉卫星发射中心二号发射阵地138工位41°18′32″N,41.30891,100.31664,近地轨道,尖兵一号乙国土普查卫星03星（返回式遥感卫星2号03星）（科学探测与技术试验卫星）（搭载 日本微重力试验装置）[参 1] ,,
44,0,1997,131,1997-05-11 16:17:00.000000,长征三号甲（遥901303/遥3）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,地球同步转移轨道,东方红三号通信卫星（02星）（中星六号通信卫星） ,,
45,0,1997,161,1997-06-10 12:01:00.000000,长征三号（遥11）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,风云二号A试验气象卫星（风云二号02星） ,,
46,0,1997,231,1997-08-19 17:50:00.000000,长征三号乙（遥2）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,超同步转移轨道,马部海一号通信卫星（亚洲广播卫星三号）（ 菲律宾） （其他名称）（马步海一号通信卫星）（阿吉拉二号通信卫星）（亚洲广播卫星五号） ,,
47,0,1997,244,1997-09-01 14:00:15.700000,长征二号丙／智能分配器（遥1）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,近地轨道,铱星模拟卫星A（铱星质量频率模拟器1号）  铱星模拟卫星B（铱卫质量频率模拟器2号）  ,,
48,0,1997,289,1997-10-16 19:13:00.000000,长征三号乙（遥3）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,超同步转移轨道,亚太二号R通信卫星（电星十号） ,,
49,0,1997,342,1997-12-08 07:16:49.000000,长征二号丙／智能分配器（遥2）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,近地轨道,铱42号通信卫星（ 美国）  铱44号通信卫星（ 美国）  ,,
50,0,1998,84,1998-03-25 17:01:06.000000,长征二号丙／智能分配器（遥3）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,近地轨道,铱51号通信卫星（ 美国）  铱61号通信卫星（ 美国）  ,,
51,0,1998,122,1998-05-02 09:16:53.000000,长征二号丙／智能分配器（遥4）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,近地轨道,铱69号通信卫星（ 美国）  铱71号通信卫星（ 美国）  ,,
52,0,1998,150,1998-05-30 10:00:04.000000,长征三号乙（遥5）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,超同步转移轨道,中卫一号通信卫星（中星五号A通信卫星）（亚太九号A通信卫星） ,,
53,0,1998,199,1998-07-18 09:20:00.000000,长征三号乙（遥4）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,地球同步转移轨道,鑫诺一号通信卫星（中星五号B通信卫星） ,,
54,0,1998,231,1998-08-19 23:01:46.000000,长征二号丙／智能分配器（遥5）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,近地轨道,铱3号通信卫星（铱78号通信卫星）（ 美国）  铱76号通信卫星（ 美国）  ,,
55,0,1998,353,1998-12-19 11:39:43.801000,长征二号丙／智能分配器（遥6）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,近地轨道,铱11号A通信卫星（铱89号通信卫星）（ 美国）  铱20号A通信卫星（铱88号通信卫星）（ 美国）  ,,
56,0,1999,130,1999-05-10 01:33:00.755000,长征四号乙（遥2）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,太阳同步轨道,风云一号C气象卫星（风云一号03星）  实践五号科学探测与技术试验卫星  ,,
57,0,1999,162,1999-06-11 17:15:33.000000,长征二号丙／智能分配器（遥7）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,近地轨道,铱14号A通信卫星（铱92号通信卫星）（ 美国）  铱21号A通信卫星（铱93号通信卫星）（ 美国）  ,,
58,0,1999,287,1999-10-14 03:16:00.000000,长征四号乙（遥1）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,太阳同步轨道,中巴地球资源卫星（01星）（资源一号卫星（01星））（实践三号侦察卫星）（ 中国／ 巴西）  科学应用卫星一号（ 巴西）  ,,
59,0,1999,323,1999-11-19 22:30:03.500000,长征二号Ｆ（遥1）,酒泉卫星发射中心九十一号发射阵地（九十一号发射工位）40°57′28″N,40.9579,100.29102,近地椭圆轨道,神舟号试验飞船（神舟一号试验飞船） ,,
60,0,2000,25,2000-01-25 16:45:05.000000,长征三号甲（遥4）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,超同步转移轨道,烽火一号战术通信卫星（中星22号通信卫星） ,,
61,0,2000,177,2000-06-25 11:50:00.000000,长征三号（遥12）,西昌卫星发射中心三号发射工位28°14′49″N,28.24705,102.02906,地球同步转移轨道,风云二号B试验气象卫星（风云二号03星） ,,
62,0,2000,245,2000-09-01 03:25:00.000000,长征四号乙（遥3）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,太阳同步轨道,资源二号卫星（01星）（尖兵三号普查卫星01星） ,,
63,0,2000,304,2000-10-30 16:02:00.000000,长征三号甲（遥5）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,超同步转移轨道,北斗导航试验卫星（1A星） ,,
64,0,2000,355,2000-12-20 16:20:00.000000,长征三号甲（遥6）,西昌卫星发射中心二号发射工位28°14′44″N,28.24548,102.02685,超同步转移轨道,北斗导航试验卫星（1B星） ,,
65,0,2001,9,2001-01-09 17:00:03.561000,长征二号Ｆ（遥2）,酒泉卫星发射中心九十一号发射阵地（九十一号发射工位）40°57′28″N,40.9579,100.29102,近地椭圆轨道,神舟二号试验飞船 ,,
66,0,2002,84,2002-03-25 14:15:03.544000,长征二号Ｆ（遥3）,酒泉卫星发射中心九十一号发射阵地（九十一号发射工位）40°57′28″N,40.9579,100.29102,近地椭圆轨道,神舟三号试验飞船 ,,
67,0,2002,135,2002-05-15 01:50:00.000000,长征四号乙（遥5）,太原卫星发射中心七号发射阵地（七号发射工位）38°50′56″N,38.84888,111.60801,太阳同步轨道,风云一号D气象卫星（风云一号04星）  海洋一号A卫星（海洋水色监测卫星（A星））  ,,
